Letter,TimeStamp,BoneName,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
A,0.6667,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_IndexProximal,-0.002774,0.000103,0.059864,-0.023183,-0.001154,0.028369,0.999328
A,0.6667,R_IndexIntermediate,0.000000,0.000000,0.037471,0.148891,0.003273,-0.026319,0.988498
A,0.6667,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,0.6667,R_IndexTip,0.000292,0.001013,0.022094,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,0.6667,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,0.6667,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,0.6667,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,0.6667,R_LittleTip,-0.000244,0.001201,0.021659,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_MiddleMetacarpal,-0.004479,-0.006526,0.032841,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_MiddleProximal,0.002774,0.004013,0.061655,0.019328,0.075637,-0.006953,0.996924
A,0.6667,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,0.6667,R_MiddleDistal,0.000000,0.000000,0.027218,-0.001329,0.000611,-0.043495,0.999053
A,0.6667,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_Palm,-0.003092,-0.004519,0.063669,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_RingMetacarpal,0.014812,-0.005944,0.034357,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,0.6667,R_RingIntermediate,0.000000,0.000000,0.038527,0.168161,-0.002698,-0.037261,0.985052
A,0.6667,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,0.6667,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,0.6667,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,0.6667,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055554,-0.082428,0.981368
A,0.6667,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,0.6667,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_Wrist,0.024315,1.455761,0.569475,-0.471660,-0.277809,-0.212497,0.809447
A,0.7333,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_IndexProximal,-0.002774,0.000103,0.059864,-0.023183,-0.001154,0.028369,0.999328
A,0.7333,R_IndexIntermediate,0.000000,0.000000,0.037471,0.148891,0.003273,-0.026319,0.988498
A,0.7333,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,0.7333,R_IndexTip,0.000292,0.001013,0.022094,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,0.7333,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,0.7333,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,0.7333,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,0.7333,R_LittleTip,-0.000243,0.001201,0.021659,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_MiddleMetacarpal,-0.004479,-0.006526,0.032841,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_MiddleProximal,0.002774,0.004013,0.061655,0.019328,0.075637,-0.006953,0.996924
A,0.7333,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,0.7333,R_MiddleDistal,0.000000,0.000000,0.027218,-0.001329,0.000611,-0.043495,0.999053
A,0.7333,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_Palm,-0.003092,-0.004519,0.063669,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_RingMetacarpal,0.014812,-0.005944,0.034357,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,0.7333,R_RingIntermediate,0.000000,0.000000,0.038527,0.168161,-0.002698,-0.037261,0.985051
A,0.7333,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,0.7333,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,0.7333,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,0.7333,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055554,-0.082428,0.981368
A,0.7333,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,0.7333,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_Wrist,0.024315,1.455761,0.569475,-0.471660,-0.277809,-0.212497,0.809447
A,0.8000,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_IndexProximal,-0.002774,0.000103,0.059864,-0.023183,-0.001154,0.028369,0.999328
A,0.8000,R_IndexIntermediate,0.000000,0.000000,0.037471,0.148891,0.003273,-0.026319,0.988498
A,0.8000,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,0.8000,R_IndexTip,0.000292,0.001013,0.022095,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,0.8000,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,0.8000,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,0.8000,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,0.8000,R_LittleTip,-0.000243,0.001201,0.021659,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_MiddleMetacarpal,-0.004479,-0.006526,0.032841,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_MiddleProximal,0.002774,0.004013,0.061655,0.019328,0.075637,-0.006953,0.996924
A,0.8000,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,0.8000,R_MiddleDistal,0.000000,0.000000,0.027218,-0.001329,0.000611,-0.043495,0.999053
A,0.8000,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_Palm,-0.003092,-0.004519,0.063669,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_RingMetacarpal,0.014812,-0.005944,0.034358,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,0.8000,R_RingIntermediate,0.000000,0.000000,0.038527,0.168161,-0.002698,-0.037261,0.985052
A,0.8000,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,0.8000,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,0.8000,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,0.8000,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055553,-0.082428,0.981368
A,0.8000,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,0.8000,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_Wrist,0.024315,1.455761,0.569476,-0.471660,-0.277809,-0.212497,0.809447
A,0.8667,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_IndexProximal,-0.002774,0.000103,0.059864,-0.023183,-0.001154,0.028369,0.999328
A,0.8667,R_IndexIntermediate,0.000000,0.000000,0.037472,0.148891,0.003273,-0.026319,0.988498
A,0.8667,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,0.8667,R_IndexTip,0.000292,0.001013,0.022094,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,0.8667,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,0.8667,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,0.8667,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,0.8667,R_LittleTip,-0.000244,0.001201,0.021659,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_MiddleMetacarpal,-0.004479,-0.006526,0.032842,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_MiddleProximal,0.002774,0.004013,0.061655,0.019328,0.075637,-0.006953,0.996924
A,0.8667,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,0.8667,R_MiddleDistal,0.000000,0.000000,0.027218,-0.001329,0.000611,-0.043495,0.999053
A,0.8667,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_Palm,-0.003092,-0.004519,0.063669,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_RingMetacarpal,0.014812,-0.005944,0.034358,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,0.8667,R_RingIntermediate,0.000000,0.000000,0.038528,0.168161,-0.002698,-0.037261,0.985052
A,0.8667,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,0.8667,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,0.8667,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,0.8667,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055553,-0.082428,0.981368
A,0.8667,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,0.8667,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_Wrist,0.024315,1.455762,0.569477,-0.471660,-0.277809,-0.212497,0.809447
A,0.9333,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_IndexProximal,-0.002774,0.000103,0.059864,-0.023183,-0.001154,0.028369,0.999328
A,0.9333,R_IndexIntermediate,0.000000,0.000000,0.037472,0.148891,0.003273,-0.026319,0.988498
A,0.9333,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,0.9333,R_IndexTip,0.000292,0.001013,0.022095,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,0.9333,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,0.9333,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,0.9333,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,0.9333,R_LittleTip,-0.000244,0.001201,0.021659,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_MiddleMetacarpal,-0.004479,-0.006526,0.032842,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_MiddleProximal,0.002774,0.004013,0.061656,0.019328,0.075637,-0.006953,0.996924
A,0.9333,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,0.9333,R_MiddleDistal,0.000000,0.000000,0.027219,-0.001329,0.000611,-0.043495,0.999053
A,0.9333,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_Palm,-0.003092,-0.004519,0.063669,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_RingMetacarpal,0.014812,-0.005944,0.034358,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,0.9333,R_RingIntermediate,0.000000,0.000000,0.038528,0.168161,-0.002698,-0.037261,0.985052
A,0.9333,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,0.9333,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,0.9333,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,0.9333,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055554,-0.082428,0.981368
A,0.9333,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,0.9333,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_Wrist,0.024315,1.455762,0.569477,-0.471660,-0.277809,-0.212497,0.809447
A,1.0000,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_IndexProximal,-0.002774,0.000103,0.059865,-0.023183,-0.001154,0.028368,0.999328
A,1.0000,R_IndexIntermediate,0.000000,0.000000,0.037472,0.148891,0.003273,-0.026319,0.988498
A,1.0000,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,1.0000,R_IndexTip,0.000292,0.001013,0.022095,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,1.0000,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,1.0000,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,1.0000,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,1.0000,R_LittleTip,-0.000244,0.001202,0.021659,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_MiddleMetacarpal,-0.004479,-0.006526,0.032842,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_MiddleProximal,0.002774,0.004013,0.061656,0.019328,0.075637,-0.006953,0.996924
A,1.0000,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,1.0000,R_MiddleDistal,0.000000,0.000000,0.027219,-0.001329,0.000611,-0.043495,0.999053
A,1.0000,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_Palm,-0.003092,-0.004519,0.063669,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_RingMetacarpal,0.014812,-0.005944,0.034358,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,1.0000,R_RingIntermediate,0.000000,0.000000,0.038528,0.168161,-0.002698,-0.037261,0.985052
A,1.0000,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,1.0000,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,1.0000,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,1.0000,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055553,-0.082428,0.981368
A,1.0000,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,1.0000,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_Wrist,0.024315,1.455762,0.569478,-0.471660,-0.277809,-0.212497,0.809447
A,1.0667,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_IndexProximal,-0.002774,0.000103,0.059865,-0.023183,-0.001154,0.028369,0.999328
A,1.0667,R_IndexIntermediate,0.000000,0.000000,0.037472,0.148891,0.003273,-0.026319,0.988498
A,1.0667,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,1.0667,R_IndexTip,0.000292,0.001013,0.022095,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,1.0667,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,1.0667,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,1.0667,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,1.0667,R_LittleTip,-0.000244,0.001201,0.021659,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_MiddleMetacarpal,-0.004479,-0.006526,0.032842,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_MiddleProximal,0.002774,0.004013,0.061656,0.019328,0.075637,-0.006953,0.996924
A,1.0667,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,1.0667,R_MiddleDistal,0.000000,0.000000,0.027219,-0.001329,0.000611,-0.043495,0.999053
A,1.0667,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_Palm,-0.003092,-0.004519,0.063669,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_RingMetacarpal,0.014812,-0.005944,0.034358,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,1.0667,R_RingIntermediate,0.000000,0.000000,0.038528,0.168161,-0.002698,-0.037261,0.985052
A,1.0667,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,1.0667,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,1.0667,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,1.0667,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055554,-0.082428,0.981368
A,1.0667,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,1.0667,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_Wrist,0.024315,1.455763,0.569479,-0.471660,-0.277809,-0.212497,0.809447
A,1.1333,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_IndexProximal,-0.002774,0.000103,0.059865,-0.023183,-0.001154,0.028368,0.999328
A,1.1333,R_IndexIntermediate,0.000000,0.000000,0.037472,0.148891,0.003273,-0.026319,0.988498
A,1.1333,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,1.1333,R_IndexTip,0.000292,0.001013,0.022095,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,1.1333,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,1.1333,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,1.1333,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,1.1333,R_LittleTip,-0.000244,0.001202,0.021659,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_MiddleMetacarpal,-0.004480,-0.006526,0.032842,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_MiddleProximal,0.002774,0.004013,0.061656,0.019328,0.075637,-0.006953,0.996924
A,1.1333,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144011,0.002692,-0.012051,0.989499
A,1.1333,R_MiddleDistal,0.000000,0.000000,0.027219,-0.001329,0.000611,-0.043495,0.999053
A,1.1333,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_Palm,-0.003092,-0.004519,0.063670,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_RingMetacarpal,0.014812,-0.005944,0.034358,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_RingProximal,0.002443,-0.000507,0.053270,-0.034654,0.106710,-0.045171,0.992659
A,1.1333,R_RingIntermediate,0.000000,0.000000,0.038528,0.168161,-0.002698,-0.037261,0.985052
A,1.1333,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,1.1333,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,1.1333,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,1.1333,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055554,-0.082428,0.981368
A,1.1333,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,1.1333,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_Wrist,0.024315,1.455763,0.569479,-0.471660,-0.277809,-0.212497,0.809447
A,1.2000,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_IndexProximal,-0.002774,0.000103,0.059865,-0.023183,-0.001154,0.028369,0.999328
A,1.2000,R_IndexIntermediate,0.000000,0.000000,0.037472,0.148891,0.003273,-0.026319,0.988498
A,1.2000,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,1.2000,R_IndexTip,0.000292,0.001013,0.022095,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
A,1.2000,R_LittleProximal,-0.000002,-0.000001,0.045102,-0.107869,0.027957,0.101423,0.988583
A,1.2000,R_LittleIntermediate,0.000000,0.000000,0.030351,0.233501,0.032152,-0.058195,0.970081
A,1.2000,R_LittleDistal,0.000000,0.000000,0.020067,0.050806,-0.049067,0.000902,0.997502
A,1.2000,R_LittleTip,-0.000244,0.001202,0.021659,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_MiddleMetacarpal,-0.004479,-0.006526,0.032842,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_MiddleProximal,0.002774,0.004013,0.061656,0.019328,0.075637,-0.006953,0.996924
A,1.2000,R_MiddleIntermediate,0.000000,0.000000,0.042411,0.144012,0.002692,-0.012051,0.989499
A,1.2000,R_MiddleDistal,0.000000,0.000000,0.027219,-0.001329,0.000611,-0.043495,0.999053
A,1.2000,R_MiddleTip,0.000305,0.001124,0.024665,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_Palm,-0.003092,-0.004519,0.063670,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_RingMetacarpal,0.014812,-0.005944,0.034358,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_RingProximal,0.002443,-0.000507,0.053271,-0.034654,0.106710,-0.045171,0.992659
A,1.2000,R_RingIntermediate,0.000000,0.000000,0.038528,0.168161,-0.002698,-0.037261,0.985052
A,1.2000,R_RingDistal,0.000000,0.000000,0.026254,0.069814,-0.029558,-0.007917,0.997091
A,1.2000,R_RingTip,0.000255,0.001589,0.024034,0.000000,0.000000,0.000000,1.000000
A,1.2000,R_ThumbMetacarpal,-0.031681,-0.011772,0.032019,-0.106299,-0.470108,0.517716,0.706874
A,1.2000,R_ThumbProximal,0.000000,0.000000,0.032122,0.164426,0.055554,-0.082428,0.981368
A,1.2000,R_ThumbDistal,0.000000,0.000000,0.033387,-0.049519,-0.064324,0.083344,0.993209
A,1.2000,R_ThumbTip,0.000662,0.001015,0.024295,0.000000,0.000000,0.000000,1.000000
A,1.2667,R_Wrist,0.024316,1.455763,0.569480,-0.471660,-0.277809,-0.212497,0.809447
A,1.2667,R_IndexMetacarpal,-0.020494,-0.007332,0.034978,0.000000,0.000000,0.000000,1.000000
A,1.2667,R_IndexProximal,-0.002774,0.000103,0.059865,-0.023183,-0.001154,0.028369,0.999328
A,1.2667,R_IndexIntermediate,0.000000,0.000000,0.037472,0.148891,0.003273,-0.026319,0.988498
A,1.2667,R_IndexDistal,0.000000,0.000000,0.024012,0.020364,0.025691,-0.016548,0.999326
A,1.2667,R_IndexTip,0.000292,0.001013,0.022095,0.000000,0.000000,0.000000,1.000000
A,1.2667,R_LittleMetacarpal,0.022722,-0.009307,0.033664,0.018312,0.140343,-0.207036,0.968042
